,Date,Lake,Lake Type,Water Temp,Water Temp Low ,Water Temp High ,Visibility,5 Fish Bag,Fish Caught,Fish Caught AM,Fish Caught PM,Fish over 3.5lbs,Hours Fished,AM Hours,PM Hours,tavg,tmin,tmax,prcp,wdir,wspd,pres
42,8/25/2022,Long Lake,Highland reservior,75,76,75,8,9,5,5,0,0,3.5,3.5,0,74.8,64,89.1,0,359,4.2,1013.2
43,8/26/2022,Eloika Lake,Natural,79,78,80,3,10.5,5,5,0,2,7,7,0,75,59,90,0,319,6.3,1009.4
44,8/28/2022,Silver Lake,Natural,78,77,80,10,15.5,7,7,0,1,6,6,0,64,48.9,78.1,0,334,3.3,1013.3
45,9/4/2022,Pend Orielle River,Damned river,69,66,72,3,5,60,60,0,0,6,6,0,70.2,55.9,86,0,351,5.1,1015.5
46,9/10/2022,Bonnie Lake,Natural,69,68,70,3,4,6,6,0,0,5.5,4,1.5,63.5,45,82,0,11,1.1,1017.2
47,9/11/2022,Bonnie Lake,Natural,68,66,70,2,6.5,25,25,0,0,4,4,0,63.7,48,82,0,23,2.5,1017.6
48,9/18/2022,Long Lake,Highland Reservior,66,63,67,8,7,15,15,0,0,4,4,0,62.6,50,73.9,0.024,355,1,1007.5
49,9/24/2022,Silver Lake,Natural,66,67,66,8,13.5,4,0,4,2,2.5,0,2.5,60.8,46,78.1,0,10,2.1,1022.6
50,9/26/2022,Long Lake,Highland Reservior,66,66,66,12,8.5,5,5,0,0,5,5,0,65.1,48,87.1,0,17,1.9,1018.3
51,10/7/2022,Silver Lake,Natural,65,64,65,8,15,7,6,1,1,7,6,1,61.3,48,78.1,0,358,0.7,1023.9
52,10/9/2022,Long Lake,Highland Reservior,64.5,64,65,6,12.5,10,8,2,0,4,3,1,58.3,45,77,0,5,1.1,1021
53,10/16/2022,Dworshak Reservior,Highland Reservior,65,63,65,3,10.5,30,26,4,0,9,7,2,55.9,42.1,77,0,6,1.2,1020.7
54,10/17/2022,Dworshak Reservior,Highland Reservior,64,63,64,3,9.5,15,15,0,0,3,3,0,54.7,42.1,75,0,7,0.9,1020.5
55,10/29/2022,Eloika Lake,Natural,49,47,49,4,0,0,0,0,0,4,3,1,47.1,39.9,57,0,350,3,1024.3
