,Date,Lake,Lake Type,Water Temp,Water Temp Low ,Water Temp High ,Visibility,5 Fish Bag,Fish Caught,Fish Caught AM,Fish Caught PM,Fish over 3.5lbs,Hours Fished,AM Hours,PM Hours,Unnamed: 0,tavg,tmin,tmax,prcp,wdir,wspd,pres
34,2022-08-04,Silver Lake,Natural,78.0,78.0,78.0,8.0,17.5,15,0,15,2.0,2.5,0.0,2.5,580,72.7,59.0,82.0,0.0,242.0,9.9,1009.7
35,2022-08-05,Silver Lake,Natural,79.0,79.0,79.0,8.0,17.0,7,7,0,2.0,5.0,5.0,0.0,581,67.5,51.1,81.0,0.0,358.0,3.1,1014.1
36,2022-08-06,Silver Lake,Natural,79.0,79.0,79.0,8.0,5.0,2,2,0,0.0,4.0,4.0,0.0,582,69.4,52.0,86.0,0.0,346.0,2.1,1015.8
37,2022-08-07,Silver Lake,Natural,79.0,79.0,79.0,8.0,8.0,3,3,0,0.0,4.0,4.0,0.0,583,73.8,55.9,93.0,0.0,10.0,2.9,1017.1
38,2022-08-09,Long Lake,Highland Reservior,79.0,78.0,80.0,9.0,7.0,7,7,0,0.0,6.0,6.0,0.0,585,78.4,61.0,93.9,0.0,11.0,3.1,1012.7
39,2022-08-17,Eloika Lake,Natural,75.0,74.0,76.0,3.0,9.5,7,7,0,1.0,7.0,7.0,0.0,593,79.2,59.0,100.0,0.0,9.0,2.5,1015.3
40,2022-08-22,Newman Lake,Natural,79.0,79.0,79.0,4.0,11.5,6,6,0,1.0,6.0,6.0,0.0,598,72.5,60.1,90.0,0.0,10.0,1.6,1015.7
41,2022-08-23,Silver Lake,Natural,79.0,79.0,79.0,10.0,10.5,3,3,0,2.0,4.0,4.0,0.0,599,74.3,59.0,89.1,0.0,9.0,3.0,1013.6
42,2022-08-25,Long Lake,Highland reservior,75.0,76.0,75.0,8.0,9.0,5,5,0,0.0,3.5,3.5,0.0,601,74.8,64.0,89.1,0.0,359.0,4.2,1013.2
43,2022-08-26,Eloika Lake,Natural,79.0,78.0,80.0,3.0,10.5,5,5,0,2.0,7.0,7.0,0.0,602,75.0,59.0,90.0,0.0,319.0,6.3,1009.4
44,2022-08-28,Silver Lake,Natural,78.0,77.0,80.0,10.0,15.5,7,7,0,1.0,6.0,6.0,0.0,604,64.0,48.9,78.1,0.0,334.0,3.3,1013.3
45,2022-09-04,Pend Orielle River,Damned river,69.0,66.0,72.0,3.0,5.0,60,60,0,0.0,6.0,6.0,0.0,611,70.2,55.9,86.0,0.0,351.0,5.1,1015.5
46,2022-09-10,Bonnie Lake,Natural,69.0,68.0,70.0,3.0,4.0,6,6,0,0.0,5.5,4.0,1.5,617,63.5,45.0,82.0,0.0,11.0,1.1,1017.2
47,2022-09-11,Bonnie Lake,Natural,68.0,66.0,70.0,2.0,6.5,25,25,0,0.0,4.0,4.0,0.0,618,63.7,48.0,82.0,0.0,23.0,2.5,1017.6
48,2022-09-18,Long Lake,Highland Reservior,66.0,63.0,67.0,8.0,7.0,15,15,0,0.0,4.0,4.0,0.0,625,62.6,50.0,73.9,0.024,355.0,1.0,1007.5
49,2022-09-24,Silver Lake,Natural,66.0,67.0,66.0,8.0,13.5,4,0,4,2.0,2.5,0.0,2.5,631,60.8,46.0,78.1,0.0,10.0,2.1,1022.6
50,2022-09-26,Long Lake,Highland Reservior,66.0,66.0,66.0,12.0,8.5,5,5,0,0.0,5.0,5.0,0.0,633,65.1,48.0,87.1,0.0,17.0,1.9,1018.3
51,2022-10-07,Silver Lake,Natural,65.0,64.0,65.0,8.0,15.0,7,6,1,1.0,7.0,6.0,1.0,644,61.3,48.0,78.1,0.0,358.0,0.7,1023.9
52,2022-10-09,Long Lake,Highland Reservior,64.5,64.0,65.0,6.0,12.5,10,8,2,0.0,4.0,3.0,1.0,646,58.3,45.0,77.0,0.0,5.0,1.1,1021.0
53,2022-10-16,Dworshak Reservior,Highland Reservior,65.0,63.0,65.0,3.0,10.5,30,26,4,0.0,9.0,7.0,2.0,653,55.9,42.1,77.0,0.0,6.0,1.2,1020.7
54,2022-10-17,Dworshak Reservior,Highland Reservior,64.0,63.0,64.0,3.0,9.5,15,15,0,0.0,3.0,3.0,0.0,654,54.7,42.1,75.0,0.0,7.0,0.9,1020.5
55,2022-10-29,Eloika Lake,Natural,49.0,47.0,49.0,4.0,0.0,0,0,0,0.0,4.0,3.0,1.0,666,47.1,39.9,57.0,0.0,350.0,3.0,1024.3
